date,pair,feature,value
2026-05-26,SPY__QQQ,trend_strength,0.050277883536827696
2026-05-26,GLD__SLV,trend_strength,0.38006669375924834
2026-05-27,KO__PEP,trend_strength,-0.14343854067196102
2026-05-27,XOM__CVX,trend_strength,-0.029085802457730025
2026-05-27,MA__V,trend_strength,-0.024523169903735854
2026-05-27,SPY__QQQ,trend_strength,0.050277883536827696
2026-05-27,GLD__SLV,trend_strength,0.38006669375924834
2026-05-28,KO__PEP,trend_strength,-0.14343854067196102
2026-05-28,XOM__CVX,trend_strength,-0.029085802457730025
2026-05-28,MA__V,trend_strength,-0.024523169903735854
2026-05-28,SPY__QQQ,trend_strength,0.050277883536827696
2026-05-28,GLD__SLV,trend_strength,0.38006669375924834
2026-05-29,KO__PEP,trend_strength,-0.14343854067196102
2026-05-29,XOM__CVX,trend_strength,-0.029085802457730025
2026-05-29,MA__V,trend_strength,-0.024523169903735854
2026-05-29,SPY__QQQ,trend_strength,0.050277883536827696
2026-05-29,GLD__SLV,trend_strength,0.38006669375924834
2026-05-22,KO__PEP,trend_gap,0.028209532293493655
2026-05-22,XOM__CVX,trend_gap,-0.07877524677873593
2026-05-22,MA__V,trend_gap,-0.46670994862878135
2026-05-22,SPY__QQQ,trend_gap,-0.15340726486262657
2026-05-22,GLD__SLV,trend_gap,-0.39918481781991133
2026-05-26,KO__PEP,trend_gap,0.028209532293493655
2026-05-26,XOM__CVX,trend_gap,-0.07877524677873593
2026-05-26,MA__V,trend_gap,-0.46670994862878135
2026-05-26,SPY__QQQ,trend_gap,-0.15340726486262657
2026-05-26,GLD__SLV,trend_gap,-0.39918481781991133
2026-05-27,KO__PEP,trend_gap,0.028209532293493655
2026-05-27,XOM__CVX,trend_gap,-0.07877524677873593
2026-05-27,MA__V,trend_gap,-0.46670994862878135
2026-05-27,SPY__QQQ,trend_gap,-0.15340726486262657
2026-05-27,GLD__SLV,trend_gap,-0.39918481781991133
2026-05-28,KO__PEP,trend_gap,0.028209532293493655
2026-05-28,XOM__CVX,trend_gap,-0.07877524677873593
2026-05-28,MA__V,trend_gap,-0.46670994862878135
2026-05-28,SPY__QQQ,trend_gap,-0.15340726486262657
2026-05-28,GLD__SLV,trend_gap,-0.39918481781991133
2026-05-29,KO__PEP,trend_gap,0.028209532293493655
2026-05-29,XOM__CVX,trend_gap,-0.07877524677873593
2026-05-29,MA__V,trend_gap,-0.46670994862878135
2026-05-29,SPY__QQQ,trend_gap,-0.15340726486262657
2026-05-29,GLD__SLV,trend_gap,-0.39918481781991133
2026-05-22,KO__PEP,reconstruction_error,0.0
2026-05-22,XOM__CVX,reconstruction_error,0.0
2026-05-22,MA__V,reconstruction_error,0.0
2026-05-22,SPY__QQQ,reconstruction_error,0.0
2026-05-22,GLD__SLV,reconstruction_error,0.0
2026-05-26,KO__PEP,reconstruction_error,0.0
2026-05-26,XOM__CVX,reconstruction_error,0.0
2026-05-26,MA__V,reconstruction_error,0.0
2026-05-26,SPY__QQQ,reconstruction_error,0.0
2026-05-26,GLD__SLV,reconstruction_error,0.0
2026-05-27,KO__PEP,reconstruction_error,0.0
2026-05-27,XOM__CVX,reconstruction_error,0.0
2026-05-27,MA__V,reconstruction_error,0.0
2026-05-27,SPY__QQQ,reconstruction_error,0.0
2026-05-27,GLD__SLV,reconstruction_error,0.0
2026-05-28,KO__PEP,reconstruction_error,0.0
2026-05-28,XOM__CVX,reconstruction_error,0.0
2026-05-28,MA__V,reconstruction_error,0.0
2026-05-28,SPY__QQQ,reconstruction_error,0.0
2026-05-28,GLD__SLV,reconstruction_error,0.0
2026-05-29,KO__PEP,reconstruction_error,0.0
2026-05-29,XOM__CVX,reconstruction_error,0.0
2026-05-29,MA__V,reconstruction_error,0.0
2026-05-29,SPY__QQQ,reconstruction_error,0.0
2026-05-29,GLD__SLV,reconstruction_error,0.0
2026-05-22,KO__PEP,selected_period,63.0
2026-05-22,XOM__CVX,selected_period,63.0
2026-05-22,MA__V,selected_period,63.0
2026-05-22,SPY__QQQ,selected_period,63.0
2026-05-22,GLD__SLV,selected_period,63.0
2026-05-26,KO__PEP,selected_period,63.0
2026-05-26,XOM__CVX,selected_period,63.0
2026-05-26,MA__V,selected_period,63.0
2026-05-26,SPY__QQQ,selected_period,63.0
2026-05-26,GLD__SLV,selected_period,63.0
2026-05-27,KO__PEP,selected_period,63.0
2026-05-27,XOM__CVX,selected_period,63.0
2026-05-27,MA__V,selected_period,63.0
2026-05-27,SPY__QQQ,selected_period,63.0
2026-05-27,GLD__SLV,selected_period,63.0
2026-05-28,KO__PEP,selected_period,63.0
2026-05-28,XOM__CVX,selected_period,63.0
2026-05-28,MA__V,selected_period,63.0
2026-05-28,SPY__QQQ,selected_period,63.0
2026-05-28,GLD__SLV,selected_period,63.0
2026-05-29,KO__PEP,selected_period,63.0
2026-05-29,XOM__CVX,selected_period,63.0
2026-05-29,MA__V,selected_period,63.0
2026-05-29,SPY__QQQ,selected_period,63.0
2026-05-29,GLD__SLV,selected_period,63.0
2026-05-22,KO__PEP,component_stability,0.9719036757543019
2026-05-22,XOM__CVX,component_stability,0.9514160864861956
2026-05-22,MA__V,component_stability,0.9464692448735116
2026-05-22,SPY__QQQ,component_stability,0.9590861445126443
2026-05-22,GLD__SLV,component_stability,0.9679834776063254
2026-05-26,KO__PEP,component_stability,0.9719036757543019
2026-05-26,XOM__CVX,component_stability,0.9514160864861956
2026-05-26,MA__V,component_stability,0.9464692448735116
2026-05-26,SPY__QQQ,component_stability,0.9590861445126443
2026-05-26,GLD__SLV,component_stability,0.9679834776063254
2026-05-27,KO__PEP,component_stability,0.9719036757543019
2026-05-27,XOM__CVX,component_stability,0.9514160864861956
2026-05-27,MA__V,component_stability,0.9464692448735116
2026-05-27,SPY__QQQ,component_stability,0.9590861445126443
2026-05-27,GLD__SLV,component_stability,0.9679834776063254
2026-05-28,KO__PEP,component_stability,0.9719036757543019
2026-05-28,XOM__CVX,component_stability,0.9514160864861956
2026-05-28,MA__V,component_stability,0.9464692448735116
2026-05-28,SPY__QQQ,component_stability,0.9590861445126443
2026-05-28,GLD__SLV,component_stability,0.9679834776063254
2026-05-29,KO__PEP,component_stability,0.9719036757543019
2026-05-29,XOM__CVX,component_stability,0.9514160864861956
2026-05-29,MA__V,component_stability,0.9464692448735116
2026-05-29,SPY__QQQ,component_stability,0.9590861445126443
2026-05-29,GLD__SLV,component_stability,0.9679834776063254
2026-05-22,KO__PEP,trend_acceleration,-6.879662431060612e-06
2026-05-22,XOM__CVX,trend_acceleration,-2.0507625531580603e-05
2026-05-22,MA__V,trend_acceleration,-2.851386310153358e-05
2026-05-22,SPY__QQQ,trend_acceleration,-2.593678589741799e-05
2026-05-22,GLD__SLV,trend_acceleration,-2.09467383289301e-06
2026-05-26,KO__PEP,trend_acceleration,-6.879662431060612e-06
2026-05-26,XOM__CVX,trend_acceleration,-2.0507625531580603e-05
2026-05-26,MA__V,trend_acceleration,-2.851386310153358e-05
2026-05-26,SPY__QQQ,trend_acceleration,-2.593678589741799e-05
2026-05-26,GLD__SLV,trend_acceleration,-2.09467383289301e-06
2026-05-27,KO__PEP,trend_acceleration,-6.879662431060612e-06
2026-05-27,XOM__CVX,trend_acceleration,-2.0507625531580603e-05
2026-05-27,MA__V,trend_acceleration,-2.851386310153358e-05
2026-05-27,SPY__QQQ,trend_acceleration,-2.593678589741799e-05
2026-05-27,GLD__SLV,trend_acceleration,-2.09467383289301e-06
2026-05-28,KO__PEP,trend_acceleration,-6.879662431060612e-06
2026-05-28,XOM__CVX,trend_acceleration,-2.0507625531580603e-05
2026-05-28,MA__V,trend_acceleration,-2.851386310153358e-05
2026-05-28,SPY__QQQ,trend_acceleration,-2.593678589741799e-05
2026-05-28,GLD__SLV,trend_acceleration,-2.09467383289301e-06
2026-05-29,KO__PEP,trend_acceleration,-6.879662431060612e-06
2026-05-29,XOM__CVX,trend_acceleration,-2.0507625531580603e-05
2026-05-29,MA__V,trend_acceleration,-2.851386310153358e-05
2026-05-29,SPY__QQQ,trend_acceleration,-2.593678589741799e-05
2026-05-29,GLD__SLV,trend_acceleration,-2.09467383289301e-06
2026-05-22,KO__PEP,cycle,0.06279015397535093
2026-05-22,XOM__CVX,cycle,-0.032848908171689443
2026-05-22,MA__V,cycle,-0.3262014502329518
2026-05-22,SPY__QQQ,cycle,-0.07614179637515185
2026-05-22,GLD__SLV,cycle,-0.3368905983400212
2026-05-26,KO__PEP,cycle,0.06279015397535093
2026-05-26,XOM__CVX,cycle,-0.032848908171689443
2026-05-26,MA__V,cycle,-0.3262014502329518
2026-05-26,SPY__QQQ,cycle,-0.07614179637515185
2026-05-26,GLD__SLV,cycle,-0.3368905983400212
2026-05-27,KO__PEP,cycle,0.06279015397535093
2026-05-27,XOM__CVX,cycle,-0.032848908171689443
2026-05-27,MA__V,cycle,-0.3262014502329518
